2024-11-26 20:39:19,849 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:39:20,161 - Packet - Src: 34.210.177.177, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:21,096 - Packet - Src: 34.210.177.177, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:22,059 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:39:22,106 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:39:23,208 - Packet - Src: 34.210.177.177, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:27,161 - Packet - Src: 34.210.177.177, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:34,441 - Packet - Src: 192.168.8.182, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:39:35,355 - Packet - Src: 34.210.177.177, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:39:35,846 - Packet - Src: 192.168.8.182, Dst: 224.0.0.22, Protocol: 2, Size: 54 bytes
2024-11-26 20:39:37,103 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:39:37,160 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:39:44,836 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
2024-11-26 20:39:53,435 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:39:53,483 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:39:53,668 - Packet - Src: 192.168.8.194, Dst: 192.168.8.1, Protocol: 17, Size: 90 bytes
2024-11-26 20:39:53,670 - Packet - Src: 192.168.8.194, Dst: 192.168.8.1, Protocol: 17, Size: 90 bytes
2024-11-26 20:39:53,694 - Packet - Src: 192.168.8.1, Dst: 192.168.8.194, Protocol: 17, Size: 223 bytes
2024-11-26 20:39:53,699 - Packet - Src: 192.168.8.1, Dst: 192.168.8.194, Protocol: 17, Size: 208 bytes
2024-11-26 20:40:01,627 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 78 bytes
2024-11-26 20:40:08,803 - Packet - Src: 52.108.240.61, Dst: 192.168.8.194, Protocol: 6, Size: 87 bytes
2024-11-26 20:40:08,848 - Packet - Src: 192.168.8.194, Dst: 52.108.240.61, Protocol: 6, Size: 54 bytes
2024-11-26 20:40:09,824 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 100 bytes
